               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061259,            0.067079,            0.010089,             0.70437,             0.61871,             0.64994,             0.35281,             0.05662,            0.055648,           0.0084376,            0.070357,           0.0032937,           0.0032937
                   1,            0.062279,            0.063966,            0.010361,                0.68,             0.60758,             0.63323,             0.31312,            0.061156,            0.054746,           0.0082748,            0.039045,           0.0053148,           0.0053148
                   2,            0.065138,            0.064469,            0.010316,             0.65666,             0.59781,               0.625,             0.30297,            0.061543,             0.05545,            0.008316,           0.0064129,            0.006016,            0.006016
                   3,            0.063228,            0.063766,           0.0098166,             0.66438,             0.64382,             0.65376,             0.33515,            0.058199,            0.055035,            0.008181,             0.00406,             0.00406,             0.00406
                   4,            0.061793,            0.063614,           0.0094809,             0.66063,             0.64289,             0.65426,             0.33066,            0.058699,            0.056697,           0.0081225,             0.00406,             0.00406,             0.00406
