               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060856,            0.065916,           0.0097859,             0.71739,             0.59891,             0.65916,             0.33749,            0.057945,            0.049856,           0.0083748,            0.070714,            0.003254,            0.003254
                   1,            0.063114,            0.062996,            0.010124,             0.64265,             0.62396,             0.62666,             0.28139,            0.062696,              0.0497,           0.0082947,            0.039783,           0.0056557,           0.0056557
                   2,            0.066839,            0.064512,           0.0099274,             0.63239,              0.5778,             0.60412,             0.27922,            0.063185,            0.049332,           0.0083066,           0.0079082,           0.0071145,           0.0071145
                   3,            0.066149,            0.062737,           0.0097053,             0.62584,             0.61553,             0.62304,             0.29389,            0.061581,            0.049451,           0.0082868,           0.0057571,           0.0057571,           0.0057571
                   4,             0.06456,            0.062684,           0.0094182,               0.644,             0.62912,             0.64679,             0.29768,            0.060665,            0.049304,           0.0081462,           0.0057571,           0.0057571,           0.0057571
                   5,            0.062318,            0.062118,           0.0086879,             0.69736,              0.6594,              0.6664,             0.33392,            0.057566,            0.049863,           0.0079992,           0.0043429,           0.0043429,           0.0043429
                   6,            0.059486,            0.061667,           0.0088432,             0.68261,             0.64416,             0.66158,              0.3603,            0.056357,            0.048937,           0.0078311,           0.0029286,           0.0029286,           0.0029286
